date,5 YR,1 YR,10 YR,3 YR,20 YR
1986-06-01,7.4658,6.5566,7.8,7.1914,8.0028
1986-07-01,7.3081,6.3173,7.3,6.9403,8.277
1986-08-01,6.7316,5.5691,7.17,6.2933,7.9255
1986-09-01,7.2692,5.9166,7.45,6.7843,8.4625
1986-10-01,7.0046,5.781,7.43,6.5293,8.2801
1986-11-01,6.8278,5.7933,7.25,6.3937,8.106
1986-12-01,6.9088,6.1155,7.11,6.5622,8.1608
1987-01-01,6.8092,5.976,7.08,6.4405,8.0254
1987-02-01,6.7981,6.0294,7.25,6.4822,7.926
1987-03-01,7.0702,6.2574,7.25,6.7329,8.1699
1987-04-01,7.862,6.9239,8.02,7.5338,8.6642
1987-05-01,8.1184,7.1744,8.61,7.8522,8.8569
1987-06-01,8.0186,6.9199,8.4,7.646,8.8219
1987-07-01,8.2006,6.9092,8.45,7.77,9.157
1987-08-01,8.5122,7.2432,8.76,8.1041,9.3854
1987-09-01,9.162,7.8631,9.42,8.7799,9.9562
1987-10-01,8.4963,7.0578,9.52,8.0177,9.2208
1987-11-01,8.5138,7.1073,8.86,8.0293,9.3574
1987-12-01,8.368,7.2328,8.99,7.9454,8.9962
1988-01-01,7.746,6.777,8.67,7.371,8.6425
1988-02-01,7.6181,6.6361,8.21,7.2577,8.6109
1988-03-01,8.0204,6.8459,8.37,7.5727,8.9438
1988-04-01,8.279,7.0981,8.72,7.8813,9.3231
1988-05-01,8.6557,7.6423,9.09,8.3084,9.4491
1988-06-01,8.3368,7.5141,8.92,8.0526,9.0654
1988-07-01,8.6179,7.9176,9.06,8.3927,9.5039
1988-08-01,8.8238,8.2886,9.26,8.6483,9.3802
1988-09-01,8.5027,8.1109,8.98,8.3533,9.0405
1988-10-01,8.2532,7.9655,8.8,8.1223,8.7894
1988-11-01,8.7723,8.611,8.96,8.6987,9.0197
1988-12-01,9.0037,8.9648,9.11,8.9671,8.8026
1989-01-01,8.8862,8.9319,9.09,8.9078,8.6146
1989-02-01,9.2516,9.3962,9.17,9.3066,8.9057
1989-03-01,9.3174,9.6584,9.36,9.4589,8.8411
1989-04-01,8.919,9.1162,9.18,8.967,8.7333
1989-05-01,8.5565,8.7979,8.86,8.5981,8.4422
1989-06-01,7.9783,8.1332,8.28,7.9246,7.9624
1989-07-01,7.5167,7.6449,8.02,7.4244,7.9114
1989-08-01,8.1794,8.2914,8.11,8.1865,8.1214
1989-09-01,8.2656,8.3863,8.19,8.2628,8.1562
1989-10-01,7.8168,7.8536,8.01,7.7562,7.8655
1989-11-01,7.7277,7.6894,7.87,7.6458,7.8385
1989-12-01,7.8299,7.8239,7.84,7.7751,7.9252
