date,value,class
,22,
,21,
,23,
,23,
,10,
,18,
,15,
,24,
,23,
,29,
,29,
,21,
,28,
,22,
,27,
,41,
,40,
,37,
,39,
,41,
,34,
,45,
,27,
,25,
,29,
,24,
,23,
,29,
,28,
,21,
,28,
,27,
,16,
,24,
,29,
,28,
,25,
,16,
,18,
,25,
,31,
,32,
,34,
,40,
,33,
,27,
,21,
,47,
,32,
,42,
,33,
,50,
,49,
,43,
,34,
,54,
,52,
,71,
,72,
,74,
,72,
,74,
,77,
,75,
,84,
,75,
,73,
,71,
,73,
,73,
,76,
,73,
,74,
,74,
,73,
,70,
,66,
,73,
,76,
,72,
,73,
,74,
,75,
,84,
,82,
,75,
,78,
,79,
,78,
,71,
,70,
,70,
,78,
,71,
,71,
,72,
,74,
,76,
,68,
,59,
,54,
,49,
,54,
,27,
,20,
,24,
,25,
,26,
,27,
,28,
,33,
,27,
,21,
,27,
,50,
,53,
,50,
,48,
,53,
,49,
,30,
,44,
,32,
,31,
,46,
,45,
,47,
,79,
,79,
,73,
,72,
,74,
,74,
,71,
,73,
,73,
,72,
,78,
,71,
,75,
,73,
,79,
,79,
,76,
,78,
,70,
,70,
,73,
,72,
,72,
,71,
,76,
,70,
,70,
,70,
,71,
,65,
,74,
,69,
,52,
,50,
,42,
,48,
,48,
,60,
,60,
,53,
,50,
,50,
,32,
,26,
,27,
,22,
,23,
,21,
,10,
,19,
,24,
,19,
,15,
,22,
,20,
,21,
,20,
,25,
,20,
,20,
,20,
,20,
,28,
,20,
,29,
,27,
,24,
,21,
,28,
,28,
,25,
,25,
,22,
,20,
,27,
,22,
,14,
,10,
,23,
,21,
,23,
,25,
,26,
,33,
,38,
,28,
,23,
,28,
,21,
,21,
,14,
,13,
,15,
,17,
,24,
,27,
,24,
,23,
,20,
,18,
,10,
,18,
,21,
,27,
,22,
,22,
,10,
,14,
,12,
,19,
,11,
,23,
,21,
,27,
,20,
,27,
,26,
,31,
,68,
,61,
,72,
,73,
,67,
,64,
,65,
,48,
,68,
,61,
,66,
,68,
,51,
,52,
,59,
,50,
,27,
,31,
,37,
,55,
,65,
,73,
,73,
,74,
,79,
,76,
,78,
,79,
,75,
,74,
,74,
,76,
,70,
,70,
,73,
,72,
,75,
,71,
,74,
,73,
,74,
,74,
,76,
,72,
,72,
,74,
,65,
,54,
,60,
,65,
,66,
,70,
,73,
,75,
,71,
,72,
,71,
,71,
,76,
,78,
,74,
,70,
,73,
,68,
,81,
,81,
,76,
,77,
,77,
,84,
,78,
,78,
,38,
,55,
,56,
,55,
,79,
,76,
,94,
,94,
,91,
,91,
,93,
,91,
,95,
,95,
,93,
,95,
,92,
,92,
,93,
,92,
,95,
,83,
,86,
,84,
,81,
,80,
,78,
,76,
,77,
,78,
,76,
,77,
,55,
,78,
,71,
,74,
,70,
,74,
,40,
,75,
,78,
,80,
,79,
,79,
,84,
,88,
,83,
,78,
,84,
,90,
,94,
,93,
,93,
,91,
,95,
,93,
,94,
,93,
,94,
,94,
,95,
,91,
,91,
,92,
,91,
,93,
,94,
,86,
,93,
,88,
,92,
,92,
,93,
,95,
,92,
,92,
,91,
,95,
,91,
,90,
,89,
,94,
,86,
,95,
,94,
,95,
,93,
,92,
,92,
,92,
,95,
,88,
,89,
,87,
,86,
,93,
,94,
,88,
,90,
,94,
,91,
,86,
,94,
,91,
,86,
,90,
,86,
,90,
,89,
,87,
,86,
,90,
,90,
,82,
,88,
,90,
,72,
,74,
,71,
,71,
,72,
,73,
,74,
,67,
,70,
,61,
,75,
,76,
,73,
,74,
,73,
,61,
,56,
,55,
,55,
,56,
,52,
,56,
,53,
,56,
,52,
,55,
,53,
,48,
,46,
,43,
,47,
,42,
,42,
,40,
,41,
,45,
,49,
,45,
,43,
,47,
,45,
,46,
,39,
,43,
,39,
,48,
,52,
,48,
,49,
,48,
,43,
,47,
,39,
,38,
