Release Dates,Measure Month
19/01/1978,31/12/1977
21/02/1978,31/01/1978
20/03/1978,28/02/1978
19/04/1978,31/03/1978
18/05/1978,30/04/1978
20/06/1978,31/05/1978
21/07/1978,30/06/1978
18/08/1978,31/07/1978
20/09/1978,31/08/1978
20/10/1978,30/09/1978
21/11/1978,31/10/1978
20/12/1978,30/11/1978
18/01/1979,31/12/1978
22/02/1979,31/01/1979
20/03/1979,28/02/1979
19/04/1979,31/03/1979
18/05/1979,30/04/1979
20/06/1979,31/05/1979
20/07/1979,30/06/1979
17/08/1979,31/07/1979
19/09/1979,31/08/1979
16/10/1979,30/09/1979
20/11/1979,31/10/1979
19/12/1979,30/11/1979
18/01/1980,31/12/1979
22/02/1980,31/01/1980
19/03/1980,29/02/1980
18/04/1980,31/03/1980
20/05/1980,30/04/1980
18/06/1980,31/05/1980
18/07/1980,30/06/1980
19/08/1980,31/07/1980
19/09/1980,31/08/1980
17/10/1980,30/09/1980
19/11/1980,31/10/1980
23/12/1980,30/11/1980
21/01/1981,31/12/1980
19/02/1981,31/01/1981
18/03/1981,28/02/1981
20/04/1981,31/03/1981
19/05/1981,30/04/1981
18/06/1981,31/05/1981
22/07/1981,30/06/1981
19/08/1981,31/07/1981
18/09/1981,31/08/1981
20/10/1981,30/09/1981
19/11/1981,31/10/1981
18/12/1981,30/11/1981
20/01/1982,31/12/1981
22/02/1982,31/01/1982
19/03/1982,28/02/1982
21/04/1982,31/03/1982
19/05/1982,30/04/1982
21/06/1982,31/05/1982
21/07/1982,30/06/1982
19/08/1982,31/07/1982
21/09/1982,31/08/1982
20/10/1982,30/09/1982
19/11/1982,31/10/1982
21/12/1982,30/11/1982
19/01/1983,31/12/1982
22/02/1983,31/01/1983
21/03/1983,28/02/1983
20/04/1983,31/03/1983
19/05/1983,30/04/1983
21/06/1983,31/05/1983
21/07/1983,30/06/1983
19/08/1983,31/07/1983
21/09/1983,31/08/1983
20/10/1983,30/09/1983
22/11/1983,31/10/1983
21/12/1983,30/11/1983
20/01/1984,31/12/1983
17/02/1984,31/01/1984
20/03/1984,29/02/1984
19/04/1984,31/03/1984
18/05/1984,30/04/1984
20/06/1984,31/05/1984
23/07/1984,30/06/1984
20/08/1984,31/07/1984
20/09/1984,31/08/1984
19/10/1984,30/09/1984
20/11/1984,31/10/1984
19/12/1984,30/11/1984
22/01/1985,31/12/1984
21/02/1985,31/01/1985
21/03/1985,28/02/1985
18/04/1985,31/03/1985
21/05/1985,30/04/1985
20/06/1985,31/05/1985
18/07/1985,30/06/1985
20/08/1985,31/07/1985
20/09/1985,31/08/1985
17/10/1985,30/09/1985
20/11/1985,31/10/1985
20/12/1985,30/11/1985
22/01/1986,31/12/1985
20/02/1986,31/01/1986
19/03/1986,28/02/1986
17/04/1986,31/03/1986
20/05/1986,30/04/1986
18/06/1986,31/05/1986
22/07/1986,30/06/1986
19/08/1986,31/07/1986
18/09/1986,31/08/1986
22/10/1986,30/09/1986
19/11/1986,31/10/1986
17/12/1986,30/11/1986
22/01/1987,31/12/1986
19/02/1987,31/01/1987
18/03/1987,28/02/1987
23/04/1987,31/03/1987
22/05/1987,30/04/1987
17/06/1987,31/05/1987
24/07/1987,30/06/1987
21/08/1987,31/07/1987
18/09/1987,31/08/1987
23/10/1987,30/09/1987
24/11/1987,31/10/1987
17/12/1987,30/11/1987
27/01/1988,31/12/1987
25/02/1988,31/01/1988
23/03/1988,29/02/1988
26/04/1988,31/03/1988
26/05/1988,30/04/1988
23/06/1988,31/05/1988
27/07/1988,30/06/1988
25/08/1988,31/07/1988
20/09/1988,31/08/1988
26/10/1988,30/09/1988
29/11/1988,31/10/1988
20/12/1988,30/11/1988
27/01/1989,31/12/1988
28/02/1989,31/01/1989
23/03/1989,28/02/1989
26/04/1989,31/03/1989
25/05/1989,30/04/1989
22/06/1989,31/05/1989
27/07/1989,30/06/1989
29/08/1989,31/07/1989
21/09/1989,31/08/1989
26/10/1989,30/09/1989
29/11/1989,31/10/1989
20/12/1989,30/11/1989
26/01/1990,31/12/1989
28/02/1990,31/01/1990
28/03/1990,28/02/1990
27/04/1990,31/03/1990
24/05/1990,30/04/1990
21/06/1990,31/05/1990
27/07/1990,30/06/1990
24/08/1990,31/07/1990
25/09/1990,31/08/1990
30/10/1990,30/09/1990
28/11/1990,31/10/1990
19/12/1990,30/11/1990
25/01/1991,31/12/1990
27/02/1991,31/01/1991
27/03/1991,28/02/1991
26/04/1991,31/03/1991
29/05/1991,30/04/1991
26/06/1991,31/05/1991
26/07/1991,30/06/1991
28/08/1991,31/07/1991
26/09/1991,31/08/1991
29/10/1991,30/09/1991
04/12/1991,30/11/1991
20/12/1991,30/11/1991
29/01/1992,31/12/1991
28/02/1992,31/01/1992
26/03/1992,29/02/1992
28/04/1992,31/03/1992
29/05/1992,30/04/1992
25/06/1992,31/05/1992
30/07/1992,30/06/1992
27/08/1992,31/07/1992
24/09/1992,31/08/1992
27/10/1992,30/09/1992
25/11/1992,31/10/1992
22/12/1992,30/11/1992
28/01/1993,31/12/1992
26/02/1993,31/01/1993
26/03/1993,28/02/1993
29/04/1993,31/03/1993
28/05/1993,30/04/1993
23/06/1993,31/05/1993
29/07/1993,30/06/1993
31/08/1993,31/08/1993
29/09/1993,31/08/1993
28/10/1993,30/09/1993
01/12/1993,30/11/1993
22/12/1993,30/11/1993
28/01/1994,31/12/1993
01/03/1994,31/01/1994
31/03/1994,31/03/1994
28/04/1994,31/03/1994
27/05/1994,30/04/1994
29/06/1994,31/05/1994
29/07/1994,30/06/1994
26/08/1994,31/07/1994
29/09/1994,31/08/1994
28/10/1994,30/09/1994
30/11/1994,31/10/1994
